App,Reviews,Installs
TED,181893,10000000
English Communication - Learn English for Chinese (Learn English for Chinese),2544,100000
Khan Academy,85375,5000000
Ai La Trieu Phu - ALTP Free,776,100000
Princess Coloring Book,9770,5000000
Learn Spanish - Español,32346,1000000
English Grammar Test,4075,500000
Speed Reading,10611,500000
English for beginners,9321,1000000
Flame - درب عقلك يوميا,56065,1000000
Mermaids,14286,5000000
"Learn Japanese, Korean, Chinese Offline & Free",133136,1000000
Kids Mode,2469,500000
PBS KIDS Video,36212,5000000
Dinosaurs Coloring Pages,390,500000
Cars Coloring Pages,1090,1000000
Babbel – Learn Languages,266948,10000000
Math Tricks,342918,10000000
Monster Truck Driver & Racing,748,1000000
Learn English Words Free,172640,5000000
Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application,61,50000
English speaking texts,1619,1000000
Thai Handwriting,3168,1000000
THAI DICT 2018,29855,1000000
Kanji test · Han search Kanji training (free version),6736,1000000
Game for KIDS: KIDS match'em,7005,1000000
Flippy Campus - Buy & sell on campus at a discount,889,500000
Free intellectual training game application |,5741,1000000
ABC Preschool Free,27572,5000000
PINKFONG Baby Shark,10852,1000000
English words application mikan,9888,500000
Learn English for beginners,1929,500000
Listen and learn English in seven days,1516,100000
Lumosity: #1 Brain Games & Cognitive Training App,215301,10000000
Learn English from Persian: Persian to English,423,100000
English with Lingualeo,254519,5000000
Quizlet: Learn Languages & Vocab with Flashcards,211856,10000000
Udemy - Online Courses,99020,1000000
Coursera: Online courses,90481,5000000
"edX - Online Courses by Harvard, MIT & more",32381,1000000
Elevate - Brain Training Games,248912,5000000
NeuroNation - Focus and Brain Training,248555,5000000
Peak – Brain Games & Training,272145,10000000
Memorado - Brain Games,56897,1000000
Lynda - Online Training Videos,8599,1000000
Brilliant,41185,1000000
CppDroid - C/C++ IDE,29980,1000000
Quiz&Learn Python,304,10000
C++ Tutorials,358,50000
C++ Programming,11904,1000000
C Programming,22251,1000000
Udacity - Lifelong Learning,22384,1000000
Learn C++,73404,1000000
Learn programming,12733,1000000
Learn JavaScript,25183,1000000
Learn Java,52743,1000000
Learn HTML,61749,1000000
"Programming Hub, Learn to code",55704,1000000
Learn SQL,19277,1000000
Ready4 SAT (Prep4 SAT),13612,100000
Socratic - Math Answers & Homework Help,37862,1000000
Ready4 GMAT (Prep4 GMAT),18372,100000
Pocket GMAT Math,656,10000
GMAT Question Bank,240,10000
GRE Tutor,275,50000
GRE Flashcards,13791,500000
"play2prep: ACT, SAT prep",3692,100000
SAT Test,2363,100000
GMAT Math Flashcards,1769,100000
Pocket SAT Math,430,10000
TOEFL Prep & Practice from Magoosh,756,100000
GRE Prep & Practice by Magoosh,3963,100000
GRE® Flashcards by Kaplan,316,50000
SAT Vocabulary,642,50000
Magoosh GMAT Prep & Practice,1058,100000
SAT Flashcards: Prep & Vocabulary,2277,100000
LinkedIn Learning: Online Courses to Learn Skills,7973,1000000
Learn English with Phrases,5695,1000000
Free english course,142632,5000000
Learn 50 languages,55256,5000000
Rosetta Stone: Learn to Speak & Read New Languages,172508,5000000
Babbel – Learn Spanish,54798,1000000
Mango Languages: Lovable Language Courses,4815,500000
Learn English with Aco,75112,1000000
Learn to Speak English,33646,1000000
Learn English with Wlingua,314300,10000000
My Class Schedule: Timetable,9348,1000000
Study Checker,3816,500000
My Study Life - School Planner,47847,1000000
HomeWork,16195,1000000
Next Gen Science Standards,206,50000
myHomework Student Planner,28392,1000000
Teacher's Gradebook - Additio,3241,100000
Common Core,835,100000
Homework Planner,2525,100000
TeachersPayTeachers,828,100000
Edmodo,200058,10000000
Socrative Teacher,1239,100000
Training schedule - AllUniver,702,10000
Remind: School Communication,108613,10000000
Google Classroom,69498,10000000
ClassDojo,148550,10000000
Duolingo: Learn Languages Free,6290507,100000000
Lerni. Learn languages.,3847,500000
"Learn languages, grammar & vocabulary with Memrise",1107948,10000000
Innovative: Learn 34 Languages,14206,500000
"busuu: Learn Languages - Spanish, English & More",206532,10000000
Chegg Study - Homework Help,14700,1000000
Canvas Student,42828,1000000
Timetable,40209,1000000
EasyBib: Citation Generator,1405,100000
"HelloTalk — Chat, Speak & Learn Foreign Languages",84311,5000000
SoloLearn: Learn to Code for Free,256079,1000000
Kids Learn Languages by Mondly,2078,100000
Blinkist - Nonfiction Books,16103,1000000
Sago Mini Hat Maker,11,1000
Fuzzy Numbers: Pre-K Number Foundation,21,1000
Toca Life: City,31085,500000
Toca Life: Hospital,3528,100000
