App,rev log,ins log
TED,5.259815985925113,7.0
English Communication - Learn English for Chinese (Learn English for Chinese),3.4055171069763763,5.0
Khan Academy,4.9313307166895886,6.698970004336019
Ai La Trieu Phu - ALTP Free,2.8898617212581885,5.0
Princess Coloring Book,3.989894563718773,6.698970004336019
Learn Spanish - Español,4.50982058221228,6.0
English Grammar Test,3.6101276130759956,5.698970004336019
Speed Reading,4.025756314534414,5.698970004336019
English for beginners,3.969462507974637,6.0
Flame - درب عقلك يوميا,4.748691826488454,6.0
Mermaids,4.154910645788523,6.698970004336019
"Learn Japanese, Korean, Chinese Offline & Free",5.124295504665947,6.0
Kids Mode,3.3925210899319325,5.698970004336019
PBS KIDS Video,4.558852511698457,6.698970004336019
Dinosaurs Coloring Pages,2.591064607026499,5.698970004336019
Cars Coloring Pages,3.037426497940624,6.0
Babbel – Learn Languages,5.426426671430236,7.0
Math Tricks,5.535190282127202,7.0
Monster Truck Driver & Racing,2.8739015978644615,6.0
Learn English Words Free,5.237141427338836,6.698970004336019
Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application,1.7853298350107671,4.698970004336019
English speaking texts,3.2092468487533736,6.0
Thai Handwriting,3.500785172917456,6.0
THAI DICT 2018,4.4750170755177985,6.0
Kanji test · Han search Kanji training (free version),3.8284020784915933,6.0
Game for KIDS: KIDS match'em,3.8454081396217936,6.0
Flippy Campus - Buy & sell on campus at a discount,2.9489017609702137,5.698970004336019
Free intellectual training game application |,3.7589875468676195,6.0
ABC Preschool Free,4.440468269822149,6.698970004336019
PINKFONG Baby Shark,4.035509785089559,6.0
English words application mikan,3.9951084577447404,5.698970004336019
Learn English for beginners,3.2853322276438846,5.698970004336019
Listen and learn English in seven days,3.1806992012960347,5.0
Lumosity: #1 Brain Games & Cognitive Training App,5.333046046978495,7.0
Learn English from Persian: Persian to English,2.6263403673750423,5.0
English with Lingualeo,5.4057202082333085,6.698970004336019
Quizlet: Learn Languages & Vocab with Flashcards,5.326040768218962,7.0
Udemy - Online Courses,4.9957229219954655,6.0
Coursera: Online courses,4.956557391785679,6.698970004336019
"edX - Online Courses by Harvard, MIT & more",4.510290256640203,6.0
Elevate - Brain Training Games,5.396045834367361,6.698970004336019
NeuroNation - Focus and Brain Training,5.39542250394884,6.698970004336019
Peak – Brain Games & Training,5.434800359625508,7.0
Memorado - Brain Games,4.755089368015571,6.0
Lynda - Online Training Videos,3.93444794894897,6.0
Brilliant,4.614739070319703,6.0
CppDroid - C/C++ IDE,4.476831628512261,6.0
Quiz&Learn Python,2.482873583608754,4.0
C++ Tutorials,2.5538830266438746,4.698970004336019
C++ Programming,4.075692918201804,6.0
C Programming,4.347349533731457,6.0
Udacity - Lifelong Learning,4.349937697147753,6.0
Learn C++,4.865719726545427,6.0
Learn programming,4.104930739077741,6.0
Learn JavaScript,4.401107465479456,6.0
Learn Java,4.722164828650272,6.0
Learn HTML,4.7906299287657355,6.0
"Programming Hub, Learn to code",4.745886382167524,6.0
Learn SQL,4.285039447366519,6.0
Ready4 SAT (Prep4 SAT),4.133921940423772,5.0
Socratic - Math Answers & Homework Help,4.578203551149766,6.0
Ready4 GMAT (Prep4 GMAT),4.2641564367458855,5.0
Pocket GMAT Math,2.8169038393756605,4.0
GMAT Question Bank,2.380211241711606,4.0
GRE Tutor,2.439332693830263,4.698970004336019
GRE Flashcards,4.139595758469972,5.698970004336019
"play2prep: ACT, SAT prep",3.5672616923538745,5.0
SAT Test,3.373463721632369,5.0
GMAT Math Flashcards,3.2477278329097232,5.0
Pocket SAT Math,2.6334684555795866,4.0
TOEFL Prep & Practice from Magoosh,2.8785217955012063,5.0
GRE Prep & Practice by Magoosh,3.59802407233419,5.0
GRE® Flashcards by Kaplan,2.499687082618404,4.698970004336019
SAT Vocabulary,2.807535028068853,4.698970004336019
Magoosh GMAT Prep & Practice,3.024485667699167,5.0
SAT Flashcards: Prep & Vocabulary,3.3573630306151427,5.0
LinkedIn Learning: Online Courses to Learn Skills,3.901621764093357,6.0
Learn English with Phrases,3.7554937284151193,6.0
Free english course,5.154216971969816,6.698970004336019
Learn 50 languages,4.74237944299809,6.698970004336019
Rosetta Stone: Learn to Speak & Read New Languages,5.236809240135629,6.698970004336019
Babbel – Learn Spanish,4.738764708031552,6.0
Mango Languages: Lovable Language Courses,3.6825962914605532,5.698970004336019
Learn English with Aco,4.875709326051567,6.0
Learn to Speak English,4.526933440590141,6.0
Learn English with Wlingua,5.49734438101758,7.0
My Class Schedule: Timetable,3.9707187037201894,6.0
Study Checker,3.5816083660320577,5.698970004336019
My Study Life - School Planner,4.679854712765105,6.0
HomeWork,4.209380952346196,6.0
Next Gen Science Standards,2.3138672203691533,4.698970004336019
myHomework Student Planner,4.453195986339536,6.0
Teacher's Gradebook - Additio,3.51067903103221,5.0
Common Core,2.921686475483602,5.0
Homework Planner,3.40226138245468,5.0
TeachersPayTeachers,2.9180303367848803,5.0
Edmodo,5.30115592280518,7.0
Socrative Teacher,3.0930713063760633,5.0
Training schedule - AllUniver,2.846337112129805,4.0
Remind: School Communication,5.035881809510414,7.0
Google Classroom,4.841972306727355,7.0
ClassDojo,5.171872656139683,7.0
Duolingo: Learn Languages Free,6.798685649964951,8.0
Lerni. Learn languages.,3.5851221863068155,5.698970004336019
"Learn languages, grammar & vocabulary with Memrise",6.04451937786262,7.0
Innovative: Learn 34 Languages,4.152471810336036,5.698970004336019
"busuu: Learn Languages - Spanish, English & More",5.314987350649728,7.0
Chegg Study - Homework Help,4.1673173347481764,6.0
Canvas Student,4.631727794003285,6.0
Timetable,4.604323272310015,6.0
EasyBib: Citation Generator,3.1476763242410986,5.0
"HelloTalk — Chat, Speak & Learn Foreign Languages",4.925884240433114,6.698970004336019
SoloLearn: Learn to Code for Free,5.408373965199924,6.0
Kids Learn Languages by Mondly,3.3176455432211585,5.0
Blinkist - Nonfiction Books,4.206906792930864,6.0
Sago Mini Hat Maker,1.0413926851582251,3.0
Fuzzy Numbers: Pre-K Number Foundation,1.3222192947339193,3.0
Toca Life: City,4.492550871704174,5.698970004336019
Toca Life: Hospital,3.547528576459782,5.0
