Genre,Frequency
Action;Action & Adventure,11
Adventure;Action & Adventure,5
Adventure;Brain Games,1
Adventure;Education,1
Arcade;Action & Adventure,12
Arcade;Pretend Play,1
Art & Design;Creativity,2
Art & Design;Pretend Play,1
Board;Action & Adventure,3
Board;Brain Games,14
Board;Pretend Play,1
Books & Reference;Education,1
Card;Action & Adventure,2
Card;Brain Games,1
Casual;Action & Adventure,12
Casual;Brain Games,12
Casual;Creativity,6
Casual;Education,3
Casual;Music & Video,1
Casual;Pretend Play,21
Communication;Creativity,1
Education;Action & Adventure,4
Education;Brain Games,1
Education;Creativity,4
Education;Education,28
Education;Music & Video,3
Education;Pretend Play,14
Educational,25
Educational;Action & Adventure,3
Educational;Brain Games,5
Educational;Creativity,4
Educational;Education,32
Educational;Pretend Play,12
Entertainment;Action & Adventure,3
Entertainment;Brain Games,5
Entertainment;Creativity,2
Entertainment;Education,1
Entertainment;Music & Video,11
Entertainment;Pretend Play,2
Health & Fitness;Action & Adventure,1
Health & Fitness;Education,1
Lifestyle;Education,1
Music & Audio;Music & Video,1
Music;Music & Video,3
Puzzle;Action & Adventure,3
Puzzle;Brain Games,17
Puzzle;Creativity,2
Puzzle;Education,1
Racing;Action & Adventure,16
Racing;Pretend Play,1
Role Playing;Action & Adventure,4
Role Playing;Brain Games,1
Role Playing;Pretend Play,3
Simulation;Action & Adventure,7
Simulation;Education,2
Simulation;Pretend Play,3
Sports;Action & Adventure,4
Strategy;Action & Adventure,2
Strategy;Creativity,1
Strategy;Education,1
Video Players & Editors;Music & Video,2
