Categories,Frequency
ART_AND_DESIGN,56
AUTO_AND_VEHICLES,57
BEAUTY,39
BOOKS_AND_REFERENCE,142
BUSINESS,182
COMICS,41
COMMUNICATION,212
DATING,86
EDUCATION,98
ENTERTAINMENT,68
EVENTS,36
FAMILY,1354
FINANCE,236
FOOD_AND_DRINK,75
GAME,791
HEALTH_AND_FITNESS,190
HOUSE_AND_HOME,53
LIBRARIES_AND_DEMO,55
LIFESTYLE,195
MAPS_AND_NAVIGATION,85
MEDICAL,203
NEWS_AND_MAGAZINES,153
PARENTING,43
PERSONALIZATION,267
PHOTOGRAPHY,219
PRODUCTIVITY,249
SHOPPING,155
SOCIAL,166
SPORTS,220
TOOLS,534
TRAVEL_AND_LOCAL,141
VIDEO_PLAYERS,110
WEATHER,65
